,Unnamed: 0,Country,Media_populacion,Population_Interval
0,0,Afghanistan,18782444.3,10M-50M
1,1,Albania,2713609.5,1M-10M
2,2,Algeria,26222807.8,10M-50M
3,3,Andorra,50480.6,<1M
4,4,Angola,15188963.7,10M-50M
5,5,Antigua and Barbuda,72316.8,<1M
6,6,Argentina,33202795.5,10M-50M
7,7,Armenia,2927305.8,1M-10M
8,8,Australia,17631488.4,10M-50M
9,9,Austria,7917847.3,1M-10M
10,10,Azerbaijan,7246785.0,1M-10M
11,11,Bahamas,278462.4,<1M
12,12,Bahrain,677471.6,<1M
13,13,Bangladesh,110502817.6,100M-500M
14,14,Barbados,259619.6,<1M
15,15,Belarus,9511239.1,1M-10M
16,16,Belgium,10239946.2,10M-50M
17,17,Belize,217794.8,<1M
18,18,Benin,6333795.9,1M-10M
19,19,Bhutan,519541.0,<1M
20,20,Bolivia,7567470.2,1M-10M
21,21,Bosnia and Herzegovina,3895418.3,1M-10M
22,22,Botswana,1427281.6,1M-10M
23,23,Brazil,150663705.3,100M-500M
24,24,Brunei,271529.6,<1M
25,25,Bulgaria,8093770.2,1M-10M
26,26,Burkina Faso,11021612.9,10M-50M
27,27,Burundi,6321279.7,1M-10M
28,28,Cabo Verde,400373.0,<1M
29,29,Cambodia,10251991.0,10M-50M
30,30,Cameroon,13530657.9,10M-50M
31,31,Canada,28226291.0,10M-50M
32,32,Central African Republic,3298674.7,1M-10M
33,33,Chad,7797086.5,1M-10M
34,34,Chile,13717895.1,10M-50M
35,35,China,1109125312.5,>500M
36,36,Colombia,33668812.0,10M-50M
37,37,Comoros,466433.6,<1M
38,38,"Congo, Democratic Republic of the",44553344.1,10M-50M
39,39,"Congo, Republic of the",2900527.3,1M-10M
40,40,Costa Rica,3304390.7,1M-10M
41,41,Croatia,4398162.9,1M-10M
42,42,Cuba,10224931.3,10M-50M
43,43,Cyprus,868258.2,<1M
44,44,Czech Republic,10237331.3,10M-50M
45,45,Denmark,5246286.8,1M-10M
46,46,Djibouti,567597.5,<1M
47,47,Dominica,69151.8,<1M
48,48,Dominican Republic,7329601.9,1M-10M
49,49,East Timor,825543.3,<1M
50,50,Ecuador,10911625.2,10M-50M
51,51,Egypt,62637893.7,50M-100M
52,52,El Salvador,5075701.8,1M-10M
53,53,Equatorial Guinea,678223.7,<1M
54,54,Eritrea,2206267.1,1M-10M
55,55,Estonia,1392234.8,1M-10M
56,56,Eswatini,815530.4,<1M
57,57,Ethiopia,59303048.3,50M-100M
58,58,Fiji,734598.8,<1M
59,59,Finland,5020539.3,1M-10M
60,60,France,58527398.1,50M-100M
61,61,Gabon,1178783.1,1M-10M
62,62,Gambia,1260474.6,1M-10M
63,63,Georgia,4152434.8,1M-10M
64,64,Germany,79807685.4,50M-100M
65,65,Ghana,17599745.6,10M-50M
66,66,Greece,10019931.6,10M-50M
67,67,Grenada,105445.7,<1M
68,68,Guatemala,9983785.2,1M-10M
69,69,Guinea,7389353.9,1M-10M
70,70,Guinea-Bissau,1127279.3,1M-10M
71,71,Guyana,740965.3,<1M
72,72,Haiti,7379137.1,1M-10M
73,73,Honduras,5700087.6,1M-10M
74,74,Hungary,10229459.1,10M-50M
75,75,Iceland,264904.0,<1M
76,76,India,916069253.7,>500M
77,77,Indonesia,185108591.3,100M-500M
78,78,Iran,54670181.1,50M-100M
79,79,Iraq,21534702.9,10M-50M
80,80,Ireland,3759066.0,1M-10M
81,81,Israel,5396000.3,1M-10M
82,82,Italy,56572525.7,50M-100M
83,83,Ivory Coast,13809933.4,10M-50M
84,84,Jamaica,2354260.5,1M-10M
85,85,Japan,118512300.5,100M-500M
86,86,Jordan,4545948.4,1M-10M
87,87,Kazakhstan,14900428.1,10M-50M
88,88,Kenya,26815427.8,10M-50M
89,89,Kiribati,82000.0,<1M
90,90,Kuwait,2012901.5,1M-10M
91,91,Kyrgyzstan,4394579.7,1M-10M
92,92,Laos,4602440.8,1M-10M
93,93,Latvia,2309606.2,1M-10M
94,94,Lebanon,3842608.7,1M-10M
95,95,Lesotho,1652661.3,1M-10M
96,96,Liberia,2714354.8,1M-10M
97,97,Libya,4206867.1,1M-10M
98,98,Liechtenstein,29032.4,<1M
99,99,Lithuania,3248695.0,1M-10M
100,100,Luxembourg,428445.3,<1M
101,101,Madagascar,14394816.0,10M-50M
102,102,Malawi,10091686.9,10M-50M
103,103,Malaysia,19575884.9,10M-50M
104,104,Maldives,255633.8,<1M
105,105,Mali,10960674.1,10M-50M
106,106,Malta,373773.1,<1M
107,107,Marshall Islands,39758.6,<1M
108,108,Mauritania,2352070.6,1M-10M
109,109,Mauritius,1054108.1,1M-10M
110,110,Mexico,84063561.2,50M-100M
111,111,Micronesia,89961.8,<1M
112,112,Moldova,2712915.7,1M-10M
113,113,Monaco,29831.8,<1M
114,114,Mongolia,2132368.3,1M-10M
115,115,Montenegro,584306.4,<1M
116,116,Morocco,24753180.2,10M-50M
117,117,Mozambique,16298047.2,10M-50M
118,118,Myanmar,39610475.4,10M-50M
119,119,Namibia,1472302.0,1M-10M
120,120,Nauru,9005.3,<1M
121,121,Nepal,20331035.6,10M-50M
122,122,Netherlands,14988403.9,10M-50M
123,123,New Zealand,3627485.9,1M-10M
124,124,Nicaragua,4329642.6,1M-10M
125,125,Niger,10935715.0,10M-50M
126,126,Nigeria,110784107.1,100M-500M
127,127,North Korea,20382972.1,10M-50M
128,128,North Macedonia,1867646.9,1M-10M
129,129,Norway,4397847.5,1M-10M
130,130,Oman,2053430.5,1M-10M
131,131,Pakistan,128455910.1,100M-500M
132,132,Palau,15327.7,<1M
133,133,Panama,2629503.2,1M-10M
134,134,Papua New Guinea,4990781.3,1M-10M
135,135,Paraguay,4238454.8,1M-10M
136,136,Peru,22323222.2,10M-50M
137,137,Philippines,67347065.7,50M-100M
138,138,Poland,36184594.7,10M-50M
139,139,Portugal,9845269.1,1M-10M
140,140,Qatar,855703.7,<1M
141,141,Romania,21024190.4,10M-50M
142,142,Russia,140176643.5,100M-500M
143,143,Rwanda,7383050.5,1M-10M
144,144,Saint Kitts and Nevis,45957.5,<1M
145,145,Saint Lucia,140852.3,<1M
146,146,Saint Vincent and the Grenadines,106013.9,<1M
147,147,Samoa,172193.1,<1M
148,148,San Marino,24922.4,<1M
149,149,Sao Tome and Principe,131915.3,<1M
150,150,Saudi Arabia,18049646.6,10M-50M
151,151,Senegal,8689411.7,1M-10M
152,152,Serbia,7234053.9,1M-10M
153,153,Seychelles,72803.5,<1M
154,154,Sierra Leone,4655061.8,1M-10M
155,155,Singapore,3499356.0,1M-10M
156,156,Slovakia,5081059.9,1M-10M
157,157,Slovenia,1920626.8,1M-10M
158,158,Solomon Islands,368897.0,<1M
159,159,Somalia,8157175.9,1M-10M
160,160,South Africa,38946341.3,10M-50M
161,161,South Korea,41905669.1,10M-50M
162,162,South Sudan,6129511.2,1M-10M
163,163,Spain,39757145.9,10M-50M
164,164,Sri Lanka,16900806.4,10M-50M
165,165,Sudan,23609783.3,10M-50M
166,166,Suriname,446797.7,<1M
167,167,Sweden,8753814.6,1M-10M
168,168,Switzerland,6976948.0,1M-10M
169,169,Syria,13340827.1,10M-50M
170,170,Tajikistan,5574216.1,1M-10M
171,171,Tanzania,30722664.1,10M-50M
172,172,Thailand,53764861.2,50M-100M
173,173,Togo,4448328.7,1M-10M
174,174,Tonga,96903.9,<1M
175,175,Trinidad and Tobago,1233667.4,1M-10M
176,176,Tunisia,8360605.9,1M-10M
177,177,Turkey,55852661.5,50M-100M
178,178,Turkmenistan,3884286.3,1M-10M
179,179,Tuvalu,8608.2,<1M
180,180,Uganda,21743424.1,10M-50M
181,181,Ukraine,47622069.1,10M-50M
182,182,United Arab Emirates,3434973.7,1M-10M
183,183,United Kingdom,58899425.4,50M-100M
184,184,United States,258734856.4,100M-500M
185,185,Uruguay,3097935.9,1M-10M
186,186,Uzbekistan,21161665.4,10M-50M
187,187,Vanuatu,170927.0,<1M
188,188,Venezuela,20194376.9,10M-50M
189,189,Vietnam,67046998.5,50M-100M
190,190,Yemen,16124129.9,10M-50M
191,191,Zambia,9235383.0,1M-10M
192,192,Zimbabwe,9776680.1,1M-10M
